"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 31일","205.25","204.00","205.56","203.60","8.96M","0.41%"
"2019년 12월 30일","204.41","207.86","207.90","203.90","10.53M","-1.77%"
"2019년 12월 27일","208.10","208.67","208.93","206.59","10.29M","0.15%"
"2019년 12월 26일","207.79","205.57","207.82","205.31","9.37M","1.30%"
"2019년 12월 24일","205.12","206.30","206.79","205.00","6.05M","-0.51%"
"2019년 12월 23일","206.18","206.70","208.59","205.68","13.35M","-0.06%"
"2019년 12월 20일","206.30","207.48","207.71","203.43","27.32M","0.12%"
"2019년 12월 19일","206.06","202.78","206.30","202.51","16.81M","1.76%"
"2019년 12월 18일","202.50","200.09","204.30","200.09","23.28M","2.07%"
"2019년 12월 17일","198.39","198.84","199.00","196.13","10.18M","0.24%"
"2019년 12월 16일","197.92","195.27","199.12","194.81","14.92M","1.96%"
"2019년 12월 13일","194.11","196.40","196.80","193.17","18.81M","-1.34%"
"2019년 12월 12일","196.75","202.35","203.66","194.10","23.77M","-2.72%"
"2019년 12월 11일","202.26","200.28","202.63","200.28","8.04M","0.69%"
"2019년 12월 10일","200.87","201.66","202.05","200.15","9.49M","-0.23%"
"2019년 12월 09일","201.34","200.65","203.14","200.21","12.01M","0.14%"
"2019년 12월 06일","201.05","200.50","201.57","200.06","12.28M","0.85%"
"2019년 12월 05일","199.36","199.86","201.29","198.21","9.76M","0.33%"
"2019년 12월 04일","198.71","200.00","200.03","198.05","8.46M","-0.06%"
"2019년 12월 03일","198.82","197.60","198.93","195.08","13.01M","-0.44%"
"2019년 12월 02일","199.70","202.13","202.18","198.05","11.54M","-0.96%"
"2019년 11월 29일","201.64","201.60","203.80","201.21","7.99M","-0.18%"
"2019년 11월 27일","202.00","199.90","203.14","199.42","12.76M","1.52%"
"2019년 11월 26일","198.97","200.00","200.15","198.04","11.75M","-0.41%"
"2019년 11월 25일","199.79","199.51","200.97","199.25","15.29M","0.49%"
"2019년 11월 22일","198.82","198.38","199.30","197.62","9.96M","0.45%"
"2019년 11월 21일","197.93","197.42","199.09","196.86","12.13M","0.21%"
"2019년 11월 20일","197.51","198.58","199.59","195.43","12.37M","-0.91%"
"2019년 11월 19일","199.32","197.40","200.00","196.86","19.07M","0.97%"
"2019년 11월 18일","197.40","194.56","198.63","193.05","16.18M","1.18%"
"2019년 11월 15일","195.10","194.26","195.30","193.38","11.53M","1.01%"
"2019년 11월 14일","193.15","192.93","194.03","191.45","9.06M","-0.02%"
"2019년 11월 13일","193.19","194.70","195.70","192.74","11.01M","-0.66%"
"2019년 11월 12일","194.47","190.00","195.06","189.74","17.62M","2.56%"
"2019년 11월 11일","189.61","189.93","190.08","188.54","8.64M","-0.64%"
"2019년 11월 08일","190.84","190.00","192.34","189.70","10.76M","0.22%"
"2019년 11월 07일","190.42","191.91","193.44","189.47","13.47M","-0.59%"
"2019년 11월 06일","191.55","194.03","194.37","191.35","10.97M","-1.43%"
"2019년 11월 05일","194.32","195.37","195.75","193.60","9.94M","-0.21%"
"2019년 11월 04일","194.72","194.55","197.37","193.81","16.37M","0.57%"
"2019년 11월 01일","193.62","192.85","194.11","189.91","21.71M","1.03%"
"2019년 10월 31일","191.65","196.70","198.09","188.25","42.29M","1.81%"
"2019년 10월 30일","188.25","189.56","190.45","185.98","28.73M","-0.56%"
"2019년 10월 29일","189.31","191.69","192.53","188.47","13.57M","-0.05%"
"2019년 10월 28일","189.40","187.20","189.53","185.08","13.66M","0.80%"
"2019년 10월 25일","187.89","185.83","189.00","185.09","8.06M","0.81%"
"2019년 10월 24일","186.38","184.62","186.73","182.80","11.51M","0.12%"
"2019년 10월 23일","186.15","182.01","186.38","182.00","12.37M","2.09%"
"2019년 10월 22일","182.34","190.00","190.65","181.50","19.85M","-3.91%"
"2019년 10월 21일","189.76","187.04","189.91","186.75","8.58M","2.10%"
"2019년 10월 18일","185.85","190.23","191.49","183.92","16.88M","-2.38%"
"2019년 10월 17일","190.39","190.30","190.84","188.76","9.76M","0.44%"
"2019년 10월 16일","189.55","188.32","189.70","186.90","10.56M","0.35%"
"2019년 10월 15일","188.89","183.80","190.38","183.66","15.14M","3.06%"
"2019년 10월 14일","183.28","184.20","184.62","182.57","7.20M","-0.49%"
"2019년 10월 11일","184.19","182.15","186.49","182.14","15.00M","2.31%"
"2019년 10월 10일","180.03","180.32","181.61","179.17","8.98M","0.10%"
"2019년 10월 09일","179.85","179.16","180.72","177.94","7.65M","1.18%"
"2019년 10월 08일","177.75","178.26","180.37","177.72","10.08M","-1.07%"
"2019년 10월 07일","179.68","180.00","181.18","178.09","9.36M","-0.43%"
"2019년 10월 04일","180.45","179.55","180.98","178.10","10.48M","0.60%"
"2019년 10월 03일","179.38","175.57","179.84","173.63","16.79M","2.74%"
"2019년 10월 02일","174.60","174.84","176.53","173.09","16.37M","-0.69%"
"2019년 10월 01일","175.81","179.15","179.84","174.88","17.26M","-1.27%"
"2019년 09월 30일","178.08","177.87","178.67","176.85","11.07M","0.55%"
"2019년 09월 27일","177.10","180.49","180.75","175.66","14.66M","-1.67%"
"2019년 09월 26일","180.11","181.33","181.40","177.67","16.28M","-1.47%"
"2019년 09월 25일","182.80","181.45","183.42","177.87","18.34M","0.84%"
"2019년 09월 24일","181.28","187.98","188.04","180.39","18.78M","-2.97%"
"2019년 09월 23일","186.82","189.34","190.10","185.21","14.37M","-1.64%"
"2019년 09월 20일","189.93","190.66","193.10","188.12","20.36M","-0.11%"
"2019년 09월 19일","190.14","188.66","191.10","188.15","10.47M","1.06%"
