"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 12월 31일","131.09","134.45","134.64","129.95","24.63M","-1.58%"
"2018년 12월 28일","133.20","135.34","135.92","132.20","22.63M","-0.98%"
"2018년 12월 27일","134.52","132.44","134.99","129.67","31.20M","0.25%"
"2018년 12월 26일","134.18","126.00","134.24","125.89","39.72M","8.16%"
"2018년 12월 24일","124.06","123.10","129.74","123.02","22.07M","-0.71%"
"2018년 12월 21일","124.95","133.39","134.90","123.42","56.90M","-6.33%"
"2018년 12월 20일","133.40","130.70","135.57","130.00","40.30M","0.12%"
"2018년 12월 19일","133.24","141.21","144.91","132.50","57.40M","-7.25%"
"2018년 12월 18일","143.66","141.08","145.93","139.83","24.71M","2.48%"
"2018년 12월 17일","140.19","143.08","144.92","138.42","24.33M","-2.69%"
"2018년 12월 14일","144.06","143.34","146.01","142.51","21.79M","-0.66%"
"2018년 12월 13일","145.01","145.57","145.85","143.19","18.15M","0.35%"
"2018년 12월 12일","144.50","143.08","147.19","142.51","23.70M","1.70%"
"2018년 12월 11일","142.08","143.88","143.88","141.10","20.30M","0.16%"
"2018년 12월 10일","141.85","139.60","143.05","139.01","26.42M","3.22%"
"2018년 12월 07일","137.42","139.25","140.87","136.66","21.20M","-1.58%"
"2018년 12월 06일","139.63","133.82","139.70","133.67","28.22M","1.23%"
"2018년 12월 04일","137.93","140.73","143.39","137.16","30.31M","-2.24%"
"2018년 12월 03일","141.09","143.00","143.68","140.76","24.82M","0.34%"
"2018년 11월 30일","140.61","138.26","140.97","137.36","25.73M","1.39%"
"2018년 11월 29일","138.68","135.92","139.99","135.66","24.24M","1.40%"
"2018년 11월 28일","136.76","136.28","136.79","131.85","29.85M","1.30%"
"2018년 11월 27일","135.00","135.75","136.61","133.71","20.75M","-1.01%"
"2018년 11월 26일","136.38","133.00","137.00","132.78","24.26M","3.53%"
"2018년 11월 23일","131.73","133.65","134.50","131.26","11.89M","-2.29%"
"2018년 11월 21일","134.82","134.40","137.19","134.13","25.47M","1.80%"
"2018년 11월 20일","132.43","127.03","134.16","126.85","41.94M","0.67%"
"2018년 11월 19일","131.55","137.61","137.75","131.21","44.36M","-5.72%"
