"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 07월 01일","485.64","454.00","488.23","454.00","9.71M","6.72%"
"2020년 06월 30일","455.04","449.40","457.47","447.35","4.20M","1.74%"
"2020년 06월 29일","447.24","445.36","447.54","432.14","4.84M","0.87%"
"2020년 06월 26일","443.40","466.48","467.89","442.32","6.80M","-4.83%"
"2020년 06월 25일","465.91","458.89","466.85","454.00","4.13M","1.76%"
"2020년 06월 24일","457.85","467.84","472.28","454.01","4.83M","-1.80%"
"2020년 06월 23일","466.26","466.50","474.01","464.56","5.95M","-0.38%"
"2020년 06월 22일","468.04","455.08","468.50","454.87","6.27M","3.16%"
"2020년 06월 19일","453.72","450.74","453.95","445.72","5.93M","0.86%"
"2020년 06월 18일","449.87","448.72","452.60","442.80","4.28M","0.47%"
"2020년 06월 17일","447.77","441.52","450.40","439.47","6.53M","2.67%"
"2020년 06월 16일","436.13","426.00","437.63","425.56","5.51M","2.50%"
"2020년 06월 15일","425.50","421.28","426.46","415.51","4.47M","1.78%"
"2020년 06월 12일","418.07","429.00","434.06","412.45","6.46M","-1.76%"
"2020년 06월 11일","425.56","427.20","445.48","424.26","7.46M","-2.05%"
"2020년 06월 10일","434.48","436.00","439.44","430.70","4.90M","0.10%"
"2020년 06월 09일","434.05","421.31","434.73","420.79","6.80M","3.47%"
"2020년 06월 08일","419.49","416.33","420.74","406.63","5.85M","-0.03%"
"2020년 06월 05일","419.60","407.29","420.24","404.25","5.10M","1.27%"
"2020년 06월 04일","414.33","421.98","428.57","410.16","5.41M","-1.81%"
"2020년 06월 03일","421.97","426.71","426.77","418.23","4.32M","-1.25%"
"2020년 06월 02일","427.31","425.77","427.51","419.52","3.49M","0.33%"
"2020년 06월 01일","425.92","418.82","426.67","416.50","3.75M","1.47%"
"2020년 05월 29일","419.73","417.46","420.30","411.85","5.27M","1.52%"
"2020년 05월 28일","413.44","416.67","422.30","411.65","5.66M","-1.54%"
"2020년 05월 27일","419.89","409.23","420.01","397.93","10.45M","1.23%"
"2020년 05월 26일","414.77","427.73","427.79","413.14","7.88M","-3.39%"
"2020년 05월 22일","429.32","437.00","439.09","427.18","5.42M","-1.59%"
"2020년 05월 21일","436.25","448.55","448.55","430.25","9.12M","-2.55%"
"2020년 05월 20일","447.67","454.25","455.74","444.09","5.61M","-0.75%"
"2020년 05월 19일","451.04","453.39","458.76","450.51","4.81M","-0.34%"
"2020년 05월 18일","452.58","451.64","456.29","443.40","7.78M","-0.35%"
"2020년 05월 15일","454.19","440.89","455.00","437.56","7.24M","2.77%"
"2020년 05월 14일","441.95","444.73","452.03","432.89","9.01M","0.84%"
"2020년 05월 13일","438.27","435.46","446.95","427.49","7.01M","1.49%"
"2020년 05월 12일","431.82","442.00","444.17","431.36","4.60M","-1.97%"
"2020년 05월 11일","440.52","436.33","444.89","435.56","5.49M","1.14%"
"2020년 05월 08일","435.55","434.14","442.00","433.64","5.05M","-0.22%"
"2020년 05월 07일","436.53","436.89","438.88","430.66","5.65M","0.52%"
"2020년 05월 06일","434.26","429.30","439.77","426.39","6.66M","2.26%"
"2020년 05월 05일","424.68","427.55","431.00","421.56","6.29M","-0.81%"
"2020년 05월 04일","428.15","417.78","428.54","414.87","7.80M","3.10%"
"2020년 05월 01일","415.27","415.10","427.97","411.73","8.30M","-1.09%"
"2020년 04월 30일","419.85","410.31","424.44","408.00","7.95M","1.93%"
"2020년 04월 29일","411.89","399.53","415.86","393.60","9.69M","2.00%"
"2020년 04월 28일","403.83","419.99","421.00","402.91","10.10M","-4.16%"
"2020년 04월 27일","421.38","425.00","429.00","420.84","6.28M","-0.85%"
"2020년 04월 24일","424.99","425.00","427.17","415.88","8.67M","-0.40%"
"2020년 04월 23일","426.70","419.26","438.41","419.26","13.95M","1.25%"
"2020년 04월 22일","421.42","429.73","433.00","413.00","21.12M","-2.86%"
"2020년 04월 21일","433.83","444.77","447.00","425.60","23.18M","-0.84%"
"2020년 04월 20일","437.49","435.17","444.49","430.56","12.66M","3.44%"
"2020년 04월 17일","422.96","431.00","432.00","414.70","12.62M","-3.69%"
"2020년 04월 16일","439.17","437.00","449.52","431.61","16.13M","2.91%"
"2020년 04월 15일","426.75","413.00","434.98","412.25","13.56M","3.19%"
"2020년 04월 14일","413.55","397.50","417.82","394.85","11.58M","4.24%"
"2020년 04월 13일","396.72","371.31","400.51","367.70","11.69M","7.01%"
"2020년 04월 09일","370.72","371.06","372.10","363.03","7.71M","-0.11%"
"2020년 04월 08일","371.12","374.01","378.39","368.31","6.91M","-0.31%"
"2020년 04월 07일","372.28","380.00","381.33","369.34","7.05M","-2.02%"
"2020년 04월 06일","379.96","365.22","380.29","361.71","8.18M","5.03%"
"2020년 04월 03일","361.76","367.47","370.90","357.51","4.86M","-2.25%"
"2020년 04월 02일","370.08","364.08","370.99","360.06","4.59M","1.65%"
"2020년 04월 01일","364.08","376.05","380.23","361.02","6.67M","-3.04%"
"2020년 03월 31일","375.50","367.93","383.01","366.44","9.37M","1.22%"
"2020년 03월 30일","370.96","363.00","377.80","361.17","8.62M","3.88%"
"2020년 03월 27일","357.12","359.38","368.45","353.20","7.95M","-1.62%"
"2020년 03월 26일","362.99","342.29","363.78","342.29","7.24M","6.02%"
"2020년 03월 25일","342.39","360.98","361.78","339.28","8.77M","-4.18%"
"2020년 03월 24일","357.32","369.91","372.05","353.21","11.64M","-0.82%"
"2020년 03월 23일","360.27","347.89","366.11","340.88","13.45M","8.24%"
"2020년 03월 20일","332.83","342.31","350.49","332.00","10.85M","0.24%"
"2020년 03월 19일","332.03","324.06","348.38","316.87","10.62M","5.25%"
"2020년 03월 18일","315.47","300.77","331.50","300.03","12.59M","-1.34%"
"2020년 03월 17일","319.75","306.19","322.90","290.25","10.01M","7.00%"
"2020년 03월 16일","298.84","306.63","334.35","294.75","10.56M","-11.14%"
"2020년 03월 13일","336.30","330.51","336.42","307.39","9.46M","6.68%"
"2020년 03월 12일","315.25","326.50","335.72","307.32","12.07M","-9.91%"
"2020년 03월 11일","349.92","358.92","362.98","344.79","6.06M","-3.90%"
"2020년 03월 10일","364.13","356.43","364.54","347.85","7.60M","5.09%"
"2020년 03월 09일","346.49","343.86","357.47","341.72","7.41M","-6.09%"
"2020년 03월 06일","368.97","367.70","371.31","356.85","8.15M","-1.02%"
"2020년 03월 05일","372.78","381.00","391.40","368.64","8.75M","-2.87%"
"2020년 03월 04일","383.79","377.77","384.01","370.51","5.49M","4.07%"
