"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 12월 31일","28.74","28.60","29.13","28.34","15.98M","1.09%"
"2018년 12월 28일","28.43","28.93","29.14","27.84","21.82M","-0.87%"
"2018년 12월 27일","28.68","28.14","28.92","27.26","31.99M","0.07%"
"2018년 12월 26일","28.66","27.00","28.70","26.80","35.53M","8.36%"
"2018년 12월 24일","26.45","26.55","27.27","26.26","18.21M","-3.15%"
"2018년 12월 21일","27.31","29.31","29.76","27.04","38.71M","-6.76%"
"2018년 12월 20일","29.29","32.59","32.72","28.51","51.98M","-11.05%"
"2018년 12월 19일","32.93","33.71","34.70","32.66","24.78M","-2.40%"
"2018년 12월 18일","33.74","33.63","34.17","33.08","18.89M","0.93%"
"2018년 12월 17일","33.43","35.68","35.70","33.20","23.88M","-6.80%"
"2018년 12월 14일","35.87","35.25","36.62","35.05","19.53M","-0.06%"
"2018년 12월 13일","35.89","36.40","36.49","35.30","22.83M","-0.99%"
"2018년 12월 12일","36.25","34.97","37.13","34.85","32.61M","5.22%"
"2018년 12월 11일","34.45","34.13","35.75","33.88","30.12M","3.05%"
"2018년 12월 10일","33.43","32.73","33.64","32.26","19.97M","1.83%"
"2018년 12월 07일","32.83","32.84","34.37","32.67","29.50M","-0.39%"
"2018년 12월 06일","32.96","32.46","32.97","31.11","25.92M","1.23%"
"2018년 12월 04일","32.56","33.28","34.16","32.50","22.47M","-3.27%"
"2018년 12월 03일","33.66","32.24","33.85","32.21","24.02M","7.03%"
"2018년 11월 30일","31.45","31.15","31.55","30.11","25.83M","0.48%"
"2018년 11월 29일","31.30","32.46","32.54","29.87","50.51M","-4.37%"
"2018년 11월 28일","32.73","33.00","33.00","31.72","19.07M","0.37%"
"2018년 11월 27일","32.61","32.44","33.10","32.36","10.73M","-0.64%"
"2018년 11월 26일","32.82","31.60","32.87","31.52","17.10M","5.46%"
"2018년 11월 23일","31.12","31.30","31.96","31.11","5.81M","-1.55%"
"2018년 11월 21일","31.61","31.67","32.08","31.10","16.47M","1.77%"
"2018년 11월 20일","31.06","29.97","31.73","29.94","20.93M","-2.88%"
"2018년 11월 19일","31.98","33.56","33.60","31.84","15.75M","-5.02%"
"2018년 11월 16일","33.67","32.83","33.92","32.60","17.90M","1.57%"
"2018년 11월 15일","33.15","32.79","33.36","32.62","16.82M","0.73%"
"2018년 11월 14일","32.91","32.89","33.85","32.75","19.45M","1.29%"
"2018년 11월 13일","32.49","32.24","32.85","31.47","17.21M","1.50%"
"2018년 11월 12일","32.01","34.00","34.10","31.78","18.15M","-6.07%"
"2018년 11월 09일","34.08","33.75","34.42","33.39","16.03M","-0.29%"
"2018년 11월 08일","34.18","34.88","34.99","33.87","15.15M","-2.31%"
"2018년 11월 07일","34.99","34.75","35.12","34.38","16.80M","1.66%"
"2018년 11월 06일","34.42","33.96","34.81","33.84","15.51M","1.18%"
"2018년 11월 05일","34.02","34.26","34.28","33.37","18.21M","-0.82%"
"2018년 11월 02일","34.30","34.87","35.35","33.85","23.99M","-0.92%"
"2018년 11월 01일","34.62","34.60","34.91","33.82","27.50M","-0.37%"
"2018년 10월 31일","34.75","34.37","35.64","34.35","33.06M","2.63%"
"2018년 10월 30일","33.86","31.77","34.55","31.30","43.68M","4.54%"
"2018년 10월 29일","32.39","32.46","33.75","31.62","40.90M","0.09%"
"2018년 10월 26일","32.36","31.20","33.14","30.94","47.75M","1.76%"
"2018년 10월 25일","31.80","31.32","33.67","30.76","79.25M","15.47%"
"2018년 10월 24일","27.54","28.85","29.77","27.30","37.91M","-4.28%"
"2018년 10월 23일","28.77","28.48","29.02","28.07","26.50M","-1.41%"
"2018년 10월 22일","29.18","29.05","29.28","28.31","21.72M","1.21%"
"2018년 10월 19일","28.83","29.33","29.79","28.68","20.11M","-1.57%"
"2018년 10월 18일","29.29","29.40","30.24","28.98","24.17M","-0.88%"
"2018년 10월 17일","29.55","29.95","30.14","28.96","19.38M","-1.07%"
"2018년 10월 16일","29.87","29.10","29.89","28.84","18.44M","4.40%"
"2018년 10월 15일","28.61","27.85","29.05","27.59","20.23M","2.22%"
"2018년 10월 12일","27.99","28.09","28.17","27.26","27.13M","3.67%"
"2018년 10월 11일","27.00","26.35","27.58","26.19","33.07M","0.78%"
"2018년 10월 10일","26.79","29.12","29.12","26.76","40.40M","-8.47%"
"2018년 10월 09일","29.27","28.70","29.57","28.34","22.76M","2.88%"
"2018년 10월 08일","28.45","28.21","28.94","27.72","22.11M","0.21%"
"2018년 10월 05일","28.39","28.34","28.96","27.97","29.00M","0.57%"
"2018년 10월 04일","28.23","28.75","28.76","27.87","21.12M","-2.69%"
"2018년 10월 03일","29.01","28.38","29.12","28.25","19.36M","2.91%"
"2018년 10월 02일","28.19","28.14","28.62","27.91","17.71M","-0.42%"
"2018년 10월 01일","28.31","28.51","28.70","28.00","20.54M","-0.53%"
"2018년 09월 28일","28.46","29.25","29.28","28.41","22.72M","-3.26%"
"2018년 09월 27일","29.42","29.06","29.69","28.88","14.83M","1.41%"
"2018년 09월 26일","29.01","29.20","29.45","28.80","12.74M","-0.34%"
"2018년 09월 25일","29.11","28.75","29.24","28.44","16.13M","1.78%"
"2018년 09월 24일","28.60","28.33","29.11","27.93","20.25M","0.35%"
"2018년 09월 21일","28.50","29.86","29.95","28.49","43.12M","-4.52%"
"2018년 09월 20일","29.85","29.70","30.02","29.24","15.38M","1.12%"
"2018년 09월 19일","29.52","29.15","29.56","28.82","16.02M","1.03%"
"2018년 09월 18일","29.22","28.84","29.63","28.75","15.86M","1.25%"
"2018년 09월 17일","28.86","29.05","29.28","28.43","30.59M","-4.18%"
"2018년 09월 14일","30.12","30.45","30.77","30.06","13.47M","-0.89%"
"2018년 09월 13일","30.39","30.10","30.57","29.86","18.52M","2.15%"
"2018년 09월 12일","29.75","30.61","30.83","29.25","29.85M","-3.69%"
"2018년 09월 11일","30.89","30.44","31.44","30.35","16.00M","1.15%"
"2018년 09월 10일","30.54","30.50","30.60","29.95","17.81M","0.16%"
"2018년 09월 07일","30.49","30.31","31.39","29.82","31.48M","-1.04%"
"2018년 09월 06일","30.81","32.86","32.95","30.62","36.02M","-5.87%"
"2018년 09월 05일","32.73","34.65","34.70","32.51","36.05M","-6.06%"
"2018년 09월 04일","34.84","34.75","35.12","34.48","13.57M","-0.97%"
"2018년 08월 31일","35.18","35.57","35.72","34.59","19.07M","-1.29%"
"2018년 08월 30일","35.64","35.27","36.15","35.21","19.22M","0.82%"
"2018년 08월 29일","35.35","35.41","35.60","34.81","17.73M","-0.39%"
